HDI rank,Country,Human Development Group,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita (2011 PPP $),GNI per capita rank minus HDI rank,HDI Growth - 1990-2000,HDI Growth 2000-2010,HDI Growth 2010-2017,HDI Growth1990-2017,Gender Development Index,HDI - F,HDI - M,Life expect - F,Life expect - M,Expected years of schooling - F,Expected years of schooling - M,Adolescent birth rate ,Share of seats in parliament - % by women
98,Tonga,High,0.725644707,73.179,14.3,11.18,5547.173004,37,0.37776402,0.562439899,0.279220304,0.420547846,0.960126543,0.706975224,0.736335465,76.233,70.156,14.6166,14.043,14.662,7.692307692
99,Saint Vincent and the Grenadines,High,0.722707899,73.294,13.25641,8.6,10498.69288,0,,0.601582158,0.151756207,,,,,75.551,71.158,13.4,13.1,49.02,13.04347826
100,Suriname,High,0.719612422,71.523,12.7,8.507,13305.81816,-16,,,0.332844867,,0.974925446,0.705187402,0.72332444,74.856,68.357,12.9812,11.9976,46.034,25.49019608
101,Botswana,High,0.716552129,67.618,12.61731,9.25333,15533.64924,-26,-0.28249103,1.570814621,1.180341214,0.779733433,0.975663973,0.707451028,0.725097008,70.191,64.939,12.771,12.4656,29.982,9.523809524
101,Maldives,High,0.716864351,77.649,12.58675195,6.31118,13567.34387,-19,,1.025336319,0.956851279,,0.918528027,0.678561883,0.738749241,78.799,76.711,12.7331,12.5755,5.792,5.882352941
103,Dominica,High,0.715056593,78.032,12.7,7.8,8343.930644,6,,0.408942895,-0.132671623,,,,,,,,,,25
104,Samoa,High,0.712812177,75.24,12.52,10.3159,5909.373722,24,0.424289751,0.685768386,0.412717953,0.518051305,,,,78.48,72.258,12.94,12.08,23.886,10
105,Uzbekistan,High,0.709846647,71.42,12.01214,11.52496,6470.082622,19,,1.13587117,0.908096457,,0.945398333,0.686820844,0.726488318,74.23,68.648,11.8186,12.1973,16.524,16.4
106,Belize,High,0.707553154,70.588,12.8154,10.48,7165.80992,14,0.510181903,0.311691914,0.177683998,0.350375524,0.978604348,0.699027937,0.714311089,73.612,67.913,12.9785,12.6509,63.466,11.11111111
106,Marshall Islands,High,0.707947416,73.62,13,10.86577,5124.896151,33,,,,,,,,,,,,,9.090909091
108,Libya,High,0.705599425,72.11,13.4025,7.31,11100.09739,-12,0.718083852,0.384815962,-0.970437762,0.154553128,0.928772034,0.668139214,0.719379125,75.123,69.327,13.6269,13.1876,5.661,15.95744681
108,Turkmenistan,High,0.706257108,67.956,10.79994,9.78,15594.47253,-34,,,0.682726046,,,,,71.449,64.504,10.5311,11.0631,24.418,25.80645161
110,Gabon,High,0.702216426,66.48,12.8135,8.17273,16430.68992,-40,0.200443593,0.507105344,0.774004016,0.462467446,0.911144669,0.669753061,0.735067749,68.173,64.888,12.456,13.4,95.301,17.35159817
110,Paraguay,High,0.701662434,73.211,12.68790331,8.35145,8380.129335,-2,0.726248179,0.789004463,0.565535579,0.707786196,0.971643838,0.689753566,0.709883126,75.482,71.091,13.1835,12.2361,55.694,16
112,Moldova (Republic of),High,0.699753399,71.718,11.63386,11.59536,5553.85036,22,-0.861097405,1.15418056,0.62412417,0.266381442,1.004911021,0.700942548,0.697517027,75.996,67.441,11.9231,11.3553,21.956,22.77227723
113,Philippines,Medium,0.698932373,69.238,12.59039,9.32687,9153.54352,-7,0.640500461,0.636302958,0.710550041,0.657101852,1.000265427,0.698653633,0.698468241,72.816,65.941,12.8765,12.3198,60.499,29.11392405
113,South Africa,Medium,0.699030055,63.404,13.33729,10.13415,11923.2677,-23,0.187917442,0.303931895,1.058541293,0.455961032,0.983580243,0.692467161,0.704027115,66.98,59.865,13.7394,13.0753,42.78,41.03139013
115,Egypt,Medium,0.695607556,71.661,13.08981,7.218,10354.80181,-15,1.117401424,0.86075803,0.637566664,0.897768654,0.87196601,0.635803732,0.729161142,73.969,69.453,13.0571,13.1214,50.042,14.93288591
116,Indonesia,Medium,0.693979664,69.355,12.81311,7.97615,10846.33795,-19,1.386115585,0.876850606,0.692198145,1.017173534,0.932200064,0.666148571,0.714598289,71.554,67.29,12.8443,12.7874,47.374,19.82142857
116,Viet Nam,Medium,0.693998062,76.454,12.692323,8.2,5858.898113,14,1.987557615,1.233484223,0.852476833,1.412928424,1.005292208,0.695662862,0.692000651,81.04,71.767,12.8867,12.508,27.283,26.72064777
118,Bolivia (Plurinational State of),Medium,0.692536971,69.473,14.02422747,8.91507,6714.027191,5,1.269158227,0.658951049,0.937177698,0.956744399,0.928609074,0.664520286,0.715608219,72.058,67.001,14.0019,14.0465,68.145,51.80722892
119,"Palestine, State of",Medium,0.685835515,73.646,12.82014,9.10464,5055.086173,21,,,0.298809257,,0.876770084,0.622593672,0.710099128,75.637,71.756,13.6596,12.0134,56.247,
120,Iraq,Medium,0.685317078,70.038,11.048673,6.81945,17789.24844,-53,0.599324172,0.674567553,0.772212474,0.671992329,0.82262606,0.602895754,0.73289163,72.319,67.787,10.0903,11.9503,80.136,25.30487805
